2019-12-03 02:09:26.837 [restartedMain] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'redisTemplate' defined in class path resource [com/single/yourme/core/config/LettuceRedisConfig.class]: Unsatisfied dependency expressed through method 'redisTemplate' parameter 0; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'redisConnectionFactory' defined in class path resource [org/springframework/boot/autoconfigure/data/redis/LettuceConnectionConfiguration.class]: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [org.springframework.data.redis.connection.lettuce.LettuceConnectionFactory]: Factory method 'redisConnectionFactory' threw exception; nested exception is java.lang.NoClassDefFoundError: org/apache/commons/pool2/impl/GenericObjectPoolConfig
2019-12-03 02:18:50.806 [restartedMain] WARN  org.apache.tomcat.util.modeler.Registry - The MBean registry cannot be disabled because it has already been initialised
2019-12-03 02:18:51.142 [restartedMain] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'bankController': Unsatisfied dependency expressed through field 'bankService'; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'com.single.yourme.service.IBankService' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.beans.factory.annotation.Autowired(required=true)}
2019-12-03 02:19:58.210 [restartedMain] WARN  org.apache.tomcat.util.modeler.Registry - The MBean registry cannot be disabled because it has already been initialised
2019-12-03 12:56:41.466 [DBHikariCP housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - DBHikariCP - Thread starvation or clock leap detected (housekeeper delta=10h14m43s931ms40µs600ns).
2019-12-03 15:57:10.220 [DBHikariCP housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - DBHikariCP - Thread starvation or clock leap detected (housekeeper delta=3h28s758ms627µs900ns).
2019-12-03 16:45:20.902 [DBHikariCP housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - DBHikariCP - Thread starvation or clock leap detected (housekeeper delta=48m18s805ms776µs500ns).
2019-12-03 16:53:17.797 [restartedMain] WARN  org.apache.tomcat.util.modeler.Registry - The MBean registry cannot be disabled because it has already been initialised
2019-12-03 17:00:00.229 [restartedMain] WARN  org.apache.tomcat.util.modeler.Registry - The MBean registry cannot be disabled because it has already been initialised
2019-12-03 18:44:14.649 [restartedMain] WARN  org.apache.tomcat.util.modeler.Registry - The MBean registry cannot be disabled because it has already been initialised
2019-12-03 19:20:27.789 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.single.yourme.mapper]' package. Please check your configuration.
2019-12-03 19:20:28.373 [restartedMain] WARN  org.apache.tomcat.util.modeler.Registry - The MBean registry cannot be disabled because it has already been initialised
